sRNA	Index	Target	Energy	P-value	Probability	sRNA start	sRNA stop	Target start	Target stop	Annotation	Interaction
sRNA89	4994	Gene121	-10.4	0.2610393247257143	0.1188819192715581	25	61	46	105	type VII secretion protein EsaA	((&))
sRNA218	4995	Gene460	-16.92	0.0016679730301223	0.2035246794740945	12	27	-119	-94	ribosome maturation factor RimP	((((&))))
sRNA50	4996	Gene876	-9.43	0.0918855415577806	0.1178878806915173	19	34	61	116	flavin reductase family protein	((&))
sRNA249	4997	Gene1843	-10.21	0.0647791880535946	0.3534116606129652	3	29	-6	15	D-alanine--D-alanine ligase	((&))
sRNA203	4998	Gene1243	-13.48	0.6877080055194535	0.0549897436663973	19	43	-178	-156	ribonuclease Z	(((&)))
sRNA36	4999	Gene1505	-8.63	0.4013867810307375	0.1111146651065964	37	49	9	68	DUF948 domain-containing protein	((&))
sRNA175	5000	Gene2395	-14.63	0.0192129547797925	0.1405220911044828	28	51	-160	-134	CBS domain-containing protein	(((&)))
sRNA224	5001	Gene2864	-7.81	0.8417827844125179	0.0592341949458585	30	38	51	88	chromosomal replication initiator protein DnaA	((&))
sRNA157	5002	Gene1046	-11.23	0.3938651101130597	0.1157776991834939	39	61	-197	-170	RNase adapter RapZ	((&))
sRNA97	5003	Gene654	-10.12	0.1927475040254784	0.412012343341455	36	63	-26	-6	DUF1398 family protein	((&))
sRNA235	5004	Gene957	-6.45	0.697570425025814	0.055425839687348	6	17	-10	42	glutathione peroxidase	((&))
sRNA9	5005	Gene1571	-7.61	0.0163074082268809	0.6626010937000646	26	50	-166	-111	TfoX/Sxy family protein	((&))
sRNA91	5006	Gene1494	-6.14	0.5854083495192988	0.0564957982769921	8	17	-153	-131	ATP-dependent protease ATPase subunit HslU	((&))
sRNA77	5007	Gene2114	-10.7	0.6040302266135471	0.0746216462187871	38	77	-122	-74	transporter substrate-binding domain-containing protein	((&))
sRNA9	5008	Gene2398	-5.37	0.8764550862014073	0.056712253239801	2	15	-140	-87	biotin/lipoyl-containing protein	((&))
sRNA101	5009	Gene1641	-8.01	0.2654968394012772	0.0884726844416936	15	37	-95	-65	GNAT family protein	((&))
sRNA145	5010	Gene4	-8.56	0.4659008152490466	0.1718167135643085	22	56	-134	-98	Na+/H+ antiporter Mnh1 subunit A	((&))
sRNA171	5011	Gene65	-7.41	0.1271697095591288	0.0988723737110014	23	32	-8	28	acetolactate synthase AlsS	((&))
sRNA77	5012	Gene693	-9.86	0.2562866946477202	0.0973829049288267	20	32	-68	-23	SLC13 family permease	((&))
sRNA9	5013	Gene2179	-6.66	0.3857447810803853	0.0705928650695927	15	50	-27	7	polyprenyl synthetase family protein	((&))
sRNA88	5014	Gene1079	-9.44	0.525035983069323	0.0597840237956733	31	44	43	84	aldehyde reductase	((&))
sRNA86	5015	Gene1723	-5.76	0.7875089597153637	0.0661537147197373	2	23	-160	-104	glyoxalase/bleomycin resistance/extradiol dioxygenase family protein	((&))
sRNA116	5016	Gene865	-7.33	0.186600883436672	0.0924067887834163	38	50	25	48	YfbR-like 5'-deoxynucleotidase	((&))
sRNA172	5017	Gene1699	-7.76	0.0971218092688768	0.1093741955968006	35	45	48	97	universal stress protein	((&))
sRNA204	5018	Gene2091	-11.32	0.3783049455215258	0.0939320580038902	22	54	-196	-157	nucleoside-diphosphate kinase	((&))
sRNA50	5019	Gene862	-10.35	0.4171350637474063	0.0838495665040082	24	48	-9	27	succinate--CoA ligase subunit alpha	((&))
sRNA185	5020	Gene759	-8.18	0.0486312494489318	0.1208409484014536	32	66	-38	-6	arylamine N-acetyltransferase	((&))
sRNA87	5021	Gene1313	-9.19	0.1361557597317101	0.1023903973661708	29	48	-61	-13	5-(carboxyamino)imidazole ribonucleotide mutase	((&))
sRNA87	5022	Gene2142	-8.17	0.1202924329511153	0.104857064751754	4	43	-80	-48	RNA chaperone Hfq	((&))
sRNA120	5023	Gene1189	-10.46	0.4011975644928648	0.1181671355899335	32	55	-49	-11	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	((&))
sRNA177	5024	Gene1339	-10.65	0.8999480033569447	0.0519361928591885	29	48	-162	-119	carbohydrate kinase	((&))
sRNA7	5025	Gene2208	-10.51	0.2713264183055115	0.3449510709591584	1	33	-116	-78	TIGR01457 family HAD-type hydrolase	((&))
sRNA233	5026	Gene2737	-8.78	0.0214905292243041	0.1360802003405774	10	29	71	123	RibD family protein	((&))
sRNA28	5027	Gene2178	-9.32	0.4376474187393947	0.2995401852736375	5	36	-188	-143	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	((&))
sRNA211	5028	Gene48	-8.48	0.3559381485466584	0.085503725676707	11	48	20	72	multidrug efflux MATE transporter MepA	((&))
sRNA38	5029	Gene2375	-5.83	0.7144052492820674	0.0627142389130613	18	46	-21	16	competence type IV pilus major pilin ComGC	((&))
sRNA213	5030	Gene290	-11.49	0.2575965680613459	0.1391069466946095	5	42	13	60	aldehyde reductase	((&))
sRNA118	5031	Gene1424	-11.18	0.6667252300450532	0.0612811444886534	3	30	-115	-79	staphyloferrin B biosynthesis protein SbnC	((&))
sRNA9	5032	Gene149	-8.29	0.1625505733136265	0.0958881622365548	18	41	50	76	C1q-binding complement inhibitor VraX	((&))
sRNA87	5033	Gene703	-6.71	0.2256181234315988	0.0919353570170228	20	36	-16	23	S1 domain-containing RNA-binding protein	((&))
sRNA40	5034	Gene1019	-7.24	0.5370685915224791	0.0647434193408889	10	25	-179	-150	zinc metalloproteinase aureolysin	((&))
sRNA37	5035	Gene2534	-8.3	0.1930010087038031	0.0990278054768328	21	52	-164	-131	BppU family phage baseplate upper protein	((&))
sRNA234	5036	Gene1661	-5.93	0.7112762008643636	0.0586498280140888	27	56	-162	-113	energy coupling factor transporter S component ThiW	((&))
sRNA86	5037	Gene100	-8.43	0.2351860805683561	0.121799831783662	9	45	-10	33	phage tail tape measure protein	((&))
sRNA170	5038	Gene1146	-6.45	0.8117351835153255	0.058170466710074	17	27	-100	-71	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase	((&))
sRNA90	5039	Gene1399	-5.96	0.3423700751193914	0.0838420829880612	27	48	-21	38	DUF1381 domain-containing protein	((&))
sRNA227	5040	Gene2551	-9.01	0.3708482453133814	0.3307405230788005	36	47	-136	-100	cysteine protease staphopain B	((&))
sRNA257	5041	Gene114	-8.1	0.3208540110292809	0.3404392526264105	9	30	-28	-1	alpha-glucoside-specific PTS transporter subunit IIBC	((&))
sRNA3	5042	Gene645	-8.36	0.029196041579222	0.2042150413453836	3	13	-153	-106	catalase	((&))
sRNA157	5043	Gene71	-8.28	0.8610248052169615	0.0673081684078352	6	36	-95	-42	dipeptide ABC transporter glycylmethionine-binding lipoprotein	((&))
sRNA165	5044	Gene507	-9.23	0.1487353215255329	0.1031936863804722	32	70	-61	-26	trigger factor	((&))
sRNA198	5045	Gene889	-7.12	0.1548627553326527	0.1013575880686726	3	38	-195	-143	MSCRAMM family adhesin clumping factor ClfA	((&))
sRNA272	5046	Gene1086	-18.22	0.4804991198616205	0.0768430122596124	13	30	-114	-58	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase	((((&))))
sRNA9	5047	Gene1859	-8.53	0.0534276171791832	0.1740904967269886	36	57	70	120	DNA helicase PcrA	((&))
sRNA177	5048	Gene942	-11.71	0.2902674493597041	0.087786450620775	33	55	-12	17	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	((&))
sRNA232	5049	Gene2352	-7.28	0.8867031763211295	0.0569873306876166	31	63	-164	-118	alpha-ketoacid dehydrogenase subunit beta	((&))
sRNA131	5050	Gene780	-7.19	0.1840756382051765	0.2458222212758154	3	30	-113	-93	ribonuclease R	((&))
sRNA38	5051	Gene592	-7.82	0.863057989975325	0.0537314115418184	3	41	9	40	metal-sulfur cluster assembly factor	((&))
sRNA236	5052	Gene966	-9.09	0.1146507856416643	0.1061290759002214	2	41	-52	-23	3-hexulose-6-phosphate synthase	((&))
sRNA32	5053	Gene2351	-6.72	0.7491822413429379	0.0706725345450259	5	17	33	83	staphostatin B	((&))
sRNA228	5054	Gene922	-13.18	0.0788523502345845	0.1156800102680849	25	41	-112	-74	Wzz/FepE/Etk N-terminal domain-containing protein	(((&)))
sRNA157	5055	Gene345	-10.3	0.6870937137216141	0.0856516473385406	6	30	73	109	class I SAM-dependent rRNA methyltransferase	((&))
sRNA9	5056	Gene2706	-6.04	0.8246191076745376	0.0508443943949759	7	38	-7	34	nucleotidyltransferase domain-containing protein	((&))
sRNA106	5057	Gene1636	-8.14	0.2002813553869128	0.4062618185483173	25	46	-5	40	PTS lactose/cellobiose transporter subunit IIA	((&))
sRNA130	5058	Gene1110	-10.61	0.6845198309588888	0.0669295770277192	26	34	72	118	alcohol dehydrogenase AdhP	((&))
sRNA69	5059	Gene321	-10.33	0.391227663085387	0.0722135901551175	25	34	-2	38	phenylalanine--tRNA ligase subunit alpha	((&))
sRNA56	5060	Gene54	-16.72	0.9348760874856136	0.0592229633143264	22	40	4	52	NADH dehydrogenase subunit 5	((((&))))
sRNA79	5061	Gene2617	-9.03	0.2538701486177186	0.0920801404989593	12	29	-78	-27	TIGR01741 family protein	((&))
sRNA174	5062	Gene1128	-12.04	0.4212374290308559	0.0737408992999655	7	22	-178	-145	Asp23/Gls24 family envelope stress response protein	(((&)))
sRNA32	5063	Gene1887	-9.64	0.3725057805348599	0.103501236131644	35	57	-33	-9	type B 50S ribosomal protein L31	((&))
sRNA210	5064	Gene2076	-6.75	0.4017783862837741	0.0729224147780423	4	36	-43	-20	DUF4870 domain-containing protein	((&))
sRNA237	5065	Gene1202	-10.26	0.3756776902687321	0.0692996046796715	12	22	-96	-72	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	((&))
sRNA82	5066	Gene1671	-6.73	0.6270477985254008	0.0636227361424653	38	49	44	98	DNA helicase RecQ	((&))
sRNA2	5067	Gene903	-15.56	0.3591996848719874	0.0809497575656438	39	67	-17	21	proline--tRNA ligase	(((&)))
sRNA190	5068	Gene2724	-9.55	0.3055346154693188	0.0879748538710944	35	60	-3	34	bifunctional lytic transglycosylase/C40 family peptidase	((&))
sRNA240	5069	Gene1127	-6.33	0.6507264108211	0.0653886323711652	20	29	-49	-14	2-hydroxyacid dehydrogenase family protein	((&))
sRNA29	5070	Gene1005	-5.72	0.5169288653029585	0.2469319790536969	7	15	-127	-90	iron uptake system protein EfeO	((&))
sRNA226	5071	Gene935	-12.21	0.8013426604494691	0.0608573524097012	24	56	7	44	low molecular weight protein-tyrosine-phosphatase	(((&)))
sRNA27	5072	Gene2038	-8.68	0.2152025529394381	0.0803335292299835	7	26	-35	14	ACT domain-containing protein	((&))
sRNA234	5073	Gene1585	-7.27	0.4280664935601737	0.0741227252785022	9	46	-160	-134	DUF805 domain-containing protein	((&))
sRNA131	5074	Gene2268	-6.17	0.885792588082074	0.0706953253646769	22	60	33	58	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	((&))
sRNA150	5075	Gene346	-10.66	0.9163932564492656	0.0517911852412147	19	40	67	108	30S ribosomal protein S14	((&))
sRNA81	5076	Gene695	-7.96	0.7235645282718137	0.0646167724522082	9	19	79	124	Glu/Leu/Phe/Val dehydrogenase	((&))
sRNA43	5077	Gene519	-6.62	0.7063242086616499	0.0607277264656163	11	29	-7	19	N-acetylglucosamine-6-phosphate deacetylase	((&))
sRNA90	5078	Gene236	-6.77	0.6366653927779528	0.0666027309751453	18	52	57	115	ACP S-malonyltransferase	((&))
sRNA166	5079	Gene2700	-8.45	0.8025654701515436	0.0527131252301226	34	48	-66	-11	bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI	((&))
sRNA50	5080	Gene1659	-8.41	0.3439368208369002	0.0858489881306574	6	44	-177	-142	isochorismate synthase MenF	((&))
sRNA41	5081	Gene101	-7.44	0.4453662868192269	0.088676148580057	19	56	47	69	CitMHS family transporter	((&))
sRNA221	5082	Gene2388	-13.75	0.4122719001528563	0.0961739308465826	27	63	-30	-7	primosomal protein DnaI	(((&)))
sRNA9	5083	Gene265	-9.52	0.23794221531594	0.0911568183655504	15	25	13	59	DUF309 domain-containing protein	((&))
sRNA133	5084	Gene1795	-10.08	0.2471394319336672	0.0832715566001353	3	11	-74	-43	SAS053 family protein	((&))
sRNA200	5085	Gene2599	-10.1	0.502301524393955	0.264888973228026	2	22	-108	-57	superantigen-like protein SSL5	((&))
sRNA2	5086	Gene167	-9.77	0.0024829355360483	0.1753435420197716	37	47	6	52	lipoyl synthase	((&))
sRNA34	5087	Gene2252	-7.55	0.4558973306707478	0.1839217237196381	26	44	-131	-90	YozE family protein	((&))
sRNA9	5088	Gene2428	-10.38	0.1021813794304307	0.4863975578053304	11	38	-159	-132	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	((&))
sRNA16	5089	Gene1526	-8.06	0.4449017823759772	0.0709957733325703	15	29	-78	-36	DNA polymerase III subunit delta	((&))
sRNA34	5090	Gene1327	-8.23	0.1134347449338417	0.303005202196434	14	50	-155	-100	phospho-N-acetylmuramoyl-pentapeptide-transferase	((&))
sRNA227	5091	Gene26	-5.94	0.9472970894904812	0.0532576889236966	6	15	-147	-95	transposase	((&))
sRNA214	5092	Gene2317	-10.89	0.7470858491131	0.0653560114897591	24	32	-8	12	cyclic-di-AMP receptor	((&))
sRNA194	5093	Gene701	-14.21	0.5063659848079333	0.290206920476375	22	55	-143	-99	sodium:solute symporter	(((&)))
sRNA2	5094	Gene2406	-7.18	0.3094123713225254	0.084369160059799	28	43	-135	-99	serine protease SplE	((&))
sRNA158	5095	Gene649	-9.02	0.4614612249769448	0.079132082161868	37	69	32	64	DUF4930 family protein	((&))
sRNA24	5096	Gene2651	-8.89	0.7469529335431432	0.0636096207083161	9	42	-191	-154	type ISP restriction/modification enzyme	((&))
sRNA12	5097	Gene846	-6.78	0.3227044483795985	0.0746495053336975	22	57	-197	-148	nitroreductase	((&))
sRNA19	5098	Gene2236	-6.81	0.2472302211353172	0.0909222086878113	3	25	7	49	tRNA (guanosine(46)-N7)-methyltransferase TrmB	((&))
sRNA30	5099	Gene1503	-8.19	0.2080737516891995	0.0920801404989593	4	43	-68	-37	cardiolipin synthase	((&))
sRNA72	5100	Gene463	-14.24	0.416473236182038	0.1136066759280539	3	11	22	50	lytic transglycosylase SceD	(((&)))
sRNA32	5101	Gene2289	-6.06	0.8868375869288627	0.0574496351124031	2	23	57	80	bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase	((&))
sRNA249	5102	Gene1331	-8.71	0.2191864053519934	0.2567052904749851	11	35	-93	-69	GHKL domain-containing protein	((&))
sRNA197	5103	Gene786	-7.77	0.4441647685201866	0.1775494162748175	38	75	9	45	multidrug efflux MFS transporter SdrM	((&))
sRNA160	5104	Gene2456	-7.16	0.2949524438196459	0.0798964139208912	14	38	23	77	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	((&))
sRNA70	5105	Gene304	-5.53	0.6384395095483264	0.0611583651078021	7	15	-182	-143	oligopeptide ABC transporter substrate-binding protein	((&))
sRNA9	5106	Gene261	-7.19	0.8851529153306452	0.1023341445479668	21	54	-90	-40	putative HNHc nuclease	((&))
sRNA20	5107	Gene2632	-9.69	0.2139630907411278	0.0898628314123974	9	21	-12	11	phenol-soluble modulin PSM-alpha-3	((&))
sRNA152	5108	Gene210	-7.49	0.6857307572338742	0.2926203764002172	2	12	-177	-125	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	((&))
sRNA56	5109	Gene1318	-9.37	0.2270084483542043	0.2567052904749851	4	26	-148	-126	DUF1450 domain-containing protein	((&))
sRNA9	5110	Gene1138	-6.78	0.7971344425766431	0.071853898601764	32	57	-122	-76	ATP-dependent chaperone ClpB	((&))
sRNA128	5111	Gene1104	-6.75	0.5113513597624769	0.0672106960286859	19	31	-139	-101	L-lactate dehydrogenase	((&))
sRNA104	5112	Gene2190	-7.49	0.0810019556510516	0.3346618897267937	20	31	-72	-21	demethylmenaquinone methyltransferase	((&))
sRNA69	5113	Gene1330	-8.29	0.1220063833856262	0.0967421905632757	34	54	-176	-130	HdeD family acid-resistance protein	((&))
sRNA128	5114	Gene1603	-8.65	0.5170390715866575	0.0669277190232049	27	41	-190	-137	oxygen-insensitive NADPH nitroreductase	((&))
sRNA124	5115	Gene649	-8.57	0.4050561635125457	0.079132082161868	6	23	-80	-53	DUF4930 family protein	((&))
sRNA197	5116	Gene2239	-9.62	0.1756089572118089	0.2567052904749851	22	51	-15	18	nisin susceptibility-associated two-component system response regulator NsaR	((&))
sRNA249	5117	Gene1406	-13.87	0.0275565375517946	0.4152494484410878	15	31	19	47	F0F1 ATP synthase subunit B	(((&)))
sRNA163	5118	Gene186	-13.04	0.7287523308462887	0.2598965731875257	12	44	55	110	phosphoribosylformylglycinamidine synthase subunit PurL	(((&)))
sRNA142	5119	Gene26	-5.39	0.8595025898736002	0.0661185582811979	12	42	28	63	transposase	((&))
sRNA165	5120	Gene1317	-9.93	0.0676202527925516	0.1177175892122377	3	42	-86	-58	F0F1 ATP synthase subunit beta	((&))
sRNA160	5121	Gene2653	-7.28	0.6640183982443968	0.0603690167296346	31	43	-17	39	PBSX family phage terminase large subunit	((&))
sRNA183	5122	Gene2709	-8.03	0.7006606316926959	0.0558767500109798	20	38	-137	-94	50S ribosomal protein L36	((&))
sRNA249	5123	Gene245	-10.43	0.9015899229655244	0.0746800827745038	10	36	-174	-150	bacillithiol biosynthesis deacetylase BshB2	((&))
sRNA144	5124	Gene474	-7.61	0.0739216051631601	0.7247733098606763	34	42	52	78	FemA/FemB family glycyltransferase FmhC	((&))
sRNA242	5125	Gene1487	-13.69	0.4104012238925505	0.0639904714426209	33	46	-19	11	sodium:solute symporter	(((&)))
sRNA148	5126	Gene610	-10.19	0.4428636605299847	0.0707950326312222	7	44	40	66	serine O-acetyltransferase	((&))
sRNA9	5127	Gene2196	-22.52	0.0608191080189657	0.5402998774023278	27	51	0	54	inorganic phosphate transporter	(((((&)))))
sRNA184	5128	Gene1003	-13.09	0.1974762428983778	0.0883733857161871	18	42	-22	3	HPr(Ser) kinase/phosphatase	(((&)))
sRNA48	5129	Gene2575	-9.21	0.3188475657698182	0.077231490842203	33	57	-99	-68	superantigen-like protein SSL10	((&))
sRNA233	5130	Gene890	-11.28	0.032319317961071	0.1291850975284706	12	46	-148	-124	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	((&))
sRNA28	5131	Gene1659	-6.91	0.4112340538220806	0.3093403721925303	15	28	40	75	isochorismate synthase MenF	((&))
sRNA169	5132	Gene2404	-8.26	0.3667807910679286	0.0827670996053981	38	53	75	103	RNA polymerase sigma factor SigS	((&))
sRNA1	5133	Gene137	-6.98	0.1904763413856001	0.0891502037287493	7	28	-128	-77	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	((&))
sRNA196	5134	Gene453	-14.07	0.43345748033717	0.0766452832330389	22	39	-27	11	glycerophosphoryl diester phosphodiesterase	(((&)))
sRNA62	5135	Gene1457	-13.31	0.1404629876258671	0.0955938172315779	39	53	-20	18	mechanosensitive ion channel family protein	(((&)))
sRNA243	5136	Gene2001	-6.81	0.4844165275057221	0.0845491046516874	13	29	14	59	PPC domain-containing DNA-binding protein	((&))
sRNA29	5137	Gene12	-6.21	0.291374328005322	0.3322769667435	21	48	-107	-78	staphylopine-dependent metal ABC transporter substrate-binding protein CntA	((&))
sRNA112	5138	Gene199	-8.19	0.3172408602950411	0.0907457477231908	1	31	-167	-114	glycerol-3-phosphate cytidylyltransferase	((&))
sRNA185	5139	Gene2064	-11.77	0.8093631573666179	0.054999108204388	9	18	68	93	ROK family glucokinase	((&))
sRNA9	5140	Gene567	-8.25	0.0932674224469791	0.1640197821293502	34	48	24	61	glycine cleavage system protein H	((&))
sRNA101	5141	Gene1884	-9.55	0.712733919859935	0.0631291428282241	18	28	-83	-31	haptoglobin-binding heme uptake protein HarA	((&))
sRNA9	5142	Gene1747	-10.59	0.2250746372341474	0.0851452059908007	4	32	-128	-108	alpha/beta hydrolase family protein	((&))
sRNA4	5143	Gene2221	-7.62	0.4605822435324368	0.1859271917622327	22	48	-117	-75	NDxxF motif lipoprotein	((&))
sRNA38	5144	Gene1736	-8.95	0.4828960359180109	0.0752621498348203	33	60	-148	-116	6-phospho-beta-glucosidase	((&))
sRNA36	5145	Gene684	-8.93	0.3376097364882966	0.1185293934129289	23	33	-177	-145	Cys-tRNA(Pro) deacylase	((&))
sRNA134	5146	Gene1993	-13.0	0.290833654372773	0.0879581713973503	22	50	-168	-131	spermidine/putrescine ABC transporter substrate-binding protein	(((&)))
sRNA71	5147	Gene594	-6.44	0.8933228085495935	0.0988057582006911	36	59	-13	40	hydroxymethylglutaryl-CoA reductase, degradative	((&))
sRNA81	5148	Gene749	-11.66	0.3252513539457814	0.0863212472183636	28	55	40	66	PTS transporter subunit IIC	((&))
sRNA150	5149	Gene2602	-6.91	0.2378393083137169	0.0966876975209058	32	49	-142	-91	DUF4242 domain-containing protein	((&))
sRNA71	5150	Gene683	-6.87	0.0616933427859776	0.5432856503607081	10	18	-138	-94	LLM class flavin-dependent oxidoreductase	((&))
sRNA266	5151	Gene879	-8.48	0.5552694777867898	0.0631940992507991	7	34	-120	-76	staphyloferrin A export MFS transporter	((&))
sRNA221	5152	Gene1029	-11.52	0.8394310222112558	0.0644618831333655	21	43	-140	-106	GNAT family N-acetyltransferase	((&))
sRNA154	5153	Gene1107	-7.98	0.5954498181158387	0.0580414504970651	11	42	-195	-155	sugar efflux transporter	((&))
sRNA24	5154	Gene1260	-12.75	0.1146169872879991	0.1108585307450526	18	37	4	51	ribosome biogenesis GTPase YlqF	(((&)))
sRNA17	5155	Gene420	-9.06	0.4954344385811391	0.0617148842734156	30	53	-167	-112	ATP-binding cassette domain-containing protein	((&))
sRNA69	5156	Gene1855	-15.36	0.4926284891916461	0.0665404873371172	26	39	-97	-62	transketolase C-terminal domain-containing protein	(((&)))
sRNA198	5157	Gene1411	-8.2	0.6828072893508755	0.0648116426547684	17	43	4	59	oligoendopeptidase F	((&))
sRNA22	5158	Gene914	-8.4	0.1014529804959595	0.6929670711720283	34	62	28	49	N-acetylmuramoyl-L-alanine amidase	((&))
sRNA213	5159	Gene347	-8.39	0.9189310795797736	0.0602975938631944	12	51	-145	-109	lipoteichoic acid-specific glycosyltransferase YfhO	((&))
sRNA123	5160	Gene1716	-15.43	0.4761190586722625	0.0794788947369054	25	49	-41	0	elongation factor G	(((&)))
sRNA87	5161	Gene2250	-7.21	0.2013738215921112	0.0943566421494755	21	54	-152	-110	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	((&))
sRNA70	5162	Gene274	-8.4	0.6810539547187822	0.0589822234217132	14	26	69	128	ERF family protein	((&))
sRNA140	5163	Gene1566	-9.24	0.6890960125016243	0.0614083852994982	7	45	-46	-9	50S ribosomal protein L33	((&))
sRNA69	5164	Gene2394	-11.33	0.3115056074397894	0.0774108259728919	23	53	20	71	30S ribosomal protein S2	((&))
sRNA9	5165	Gene968	-6.92	0.3110043273372996	0.340303636099817	25	58	-33	20	signal transduction protein TRAP	((&))
sRNA197	5166	Gene469	-14.97	0.0112641352509723	0.439643665952987	1	33	50	86	signal peptidase II	(((&)))
sRNA66	5167	Gene1591	-11.4	0.3542474474916108	0.1146695899361349	21	40	-99	-74	sodium/proline symporter PutP	((&))
sRNA70	5168	Gene12	-5.36	0.4342789379313159	0.0720718273154381	30	43	31	87	staphylopine-dependent metal ABC transporter substrate-binding protein CntA	((&))
sRNA151	5169	Gene1730	-7.62	0.5142368268969664	0.1033235452541331	11	19	-102	-57	folylpolyglutamate synthase/dihydrofolate synthase family protein	((&))
sRNA13	5170	Gene6	-11.73	0.414371182273871	0.0693935899312998	1	16	-83	-44	M23 family metallopeptidase	((&))
sRNA6	5171	Gene125	-6.06	0.5437106180445572	0.0657506042408179	39	64	-52	-23	multidrug efflux MFS transporter MdeA	((&))
sRNA157	5172	Gene971	-14.99	0.2734983580560018	0.1320458848398432	23	54	-25	8	30S ribosomal protein S3	(((&)))
sRNA131	5173	Gene1052	-8.02	0.2676819311083896	0.2122361583067417	2	28	-190	-169	DUF6056 family protein	((&))
sRNA101	5174	Gene2592	-8.91	0.2261627827104242	0.091733462374686	9	25	-106	-66	MobT family relaxase	((&))
sRNA97	5175	Gene2167	-6.75	0.0360473376966459	0.5921134585880108	14	30	-54	-34	uroporphyrinogen-III C-methyltransferase	((&))
sRNA56	5176	Gene2771	-8.93	0.1306925303208077	0.3041060195063869	38	77	-65	-40	50S ribosomal protein L28	((&))
sRNA9	5177	Gene1428	-9.94	0.5339315535792468	0.2682010330738423	20	42	-191	-147	alpha-glucosidase	((&))
sRNA68	5178	Gene749	-10.44	0.3228836977905788	0.0863212472183636	8	33	-145	-123	PTS transporter subunit IIC	((&))
sRNA236	5179	Gene196	-9.23	0.2890758392560076	0.0879748538710944	16	25	-107	-78	PIN/TRAM domain-containing protein	((&))
sRNA222	5180	Gene1240	-9.87	0.0469043016682166	0.3415415677300575	3	19	-200	-175	deoxyribodipyrimidine photo-lyase	((&))
sRNA48	5181	Gene2712	-8.58	0.1806570286844002	0.0884645363820467	13	25	-18	33	type 8 capsular polysaccharide synthesis protein Cap8H	((&))
sRNA182	5182	Gene1113	-9.92	0.0181218861408952	0.1340595350777153	17	35	-79	-42	malic enzyme-like NAD(P)-binding protein	((&))
sRNA63	5183	Gene245	-8.72	0.3060253385666637	0.0783928455451681	36	72	-73	-17	bacillithiol biosynthesis deacetylase BshB2	((&))
sRNA52	5184	Gene1834	-10.35	0.0993359295937533	0.108132506228275	4	37	-192	-169	50S ribosomal protein L4	((&))
sRNA74	5185	Gene2276	-8.93	0.0478777576704134	0.1171458145600554	11	42	-177	-139	PTS sugar transporter subunit IIA	((&))
sRNA265	5186	Gene1549	-18.03	0.6130065000207309	0.0644844343470404	23	62	-144	-110	amidophosphoribosyltransferase	((((&))))
sRNA231	5187	Gene1077	-10.12	0.6686981437075307	0.0587292538302888	16	55	74	128	ABC transporter permease subunit	((&))
sRNA92	5188	Gene1809	-8.63	0.5503683339726553	0.0669042693749269	36	49	-88	-35	surface-displayed alpha-enolase	((&))
sRNA210	5189	Gene16	-8.6	0.1236478835378465	0.0960993219738458	38	68	-192	-170	guanylate kinase	((&))
sRNA209	5190	Gene500	-11.18	0.2006327585414974	0.0998012546435265	10	34	-186	-132	glycosyl hydrolase family 28-related protein	((&))
sRNA13	5191	Gene1401	-7.56	0.0327731868082599	0.1498698082505303	31	64	-51	-28	YlbF/YmcA family competence regulator	((&))
sRNA20	5192	Gene1248	-6.57	0.599180206244796	0.0650353097877309	27	59	-148	-99	lytic transglycosylase SceD	((&))
sRNA62	5193	Gene1719	-11.8	0.3093583329389521	0.0805726352675125	36	51	16	50	phosphopentomutase	((&))
sRNA265	5194	Gene962	-9.9	0.8880119934505233	0.0513113088302047	28	38	-24	-4	dihydroorotase	((&))
sRNA140	5195	Gene2704	-8.24	0.0487579929163609	0.1201279685957018	19	58	-127	-100	tetracycline resistance ribosomal protection protein Tet(M)	((&))
sRNA134	5196	Gene1065	-7.21	0.5614435241669966	0.0717934678455346	30	69	-188	-154	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	((&))
sRNA9	5197	Gene468	-8.04	0.0165501745870482	0.6530682437280136	11	27	-68	-37	immunodominant staphylococcal antigen IsaB	((&))
sRNA50	5198	Gene470	-9.49	0.2277418401812651	0.0944273429700299	25	50	73	93	heme A synthase	((&))
sRNA64	5199	Gene2728	-7.6	0.0698497512266403	0.1123312078262245	9	19	5	55	DUF3885 domain-containing protein	((&))
