sRNA_ID	mRNA_ID	Prediction_Probability
sRNA63	Gene2649	0.52393
sRNA85	Gene1855	0.50435
sRNA65	Gene403	0.51247
sRNA50	Gene2437	0.52254
sRNA212	Gene2456	0.52789
sRNA17	Gene697	0.50462
sRNA226	Gene1566	0.5288
sRNA77	Gene1744	0.5657
sRNA93	Gene1216	0.50137
sRNA228	Gene1101	0.47478
sRNA153	Gene2463	0.55834
sRNA141	Gene445	0.51276
sRNA165	Gene751	0.55308
sRNA214	Gene62	0.51968
sRNA139	Gene455	0.48229
sRNA50	Gene1062	0.50068
sRNA129	Gene2575	0.5377
sRNA96	Gene752	0.47919
sRNA197	Gene940	0.52361
sRNA281	Gene308	0.49441
sRNA222	Gene2412	0.47733
sRNA221	Gene2657	0.54612
sRNA185	Gene2281	0.45665
sRNA43	Gene1207	0.45987
sRNA57	Gene2118	0.46524
sRNA65	Gene644	0.55045
sRNA153	Gene1631	0.54346
sRNA182	Gene906	0.51338
sRNA9	Gene568	0.51756
sRNA250	Gene715	0.46306
sRNA229	Gene2519	0.51833
sRNA32	Gene2597	0.54825
sRNA161	Gene485	0.4649
sRNA106	Gene98	0.54538
sRNA157	Gene1576	0.54079
sRNA9	Gene2144	0.49348
sRNA4	Gene518	0.51337
sRNA233	Gene686	0.55627
sRNA219	Gene474	0.55556
sRNA210	Gene1114	0.45595
sRNA48	Gene1574	0.53098
sRNA257	Gene72	0.50203
sRNA236	Gene141	0.57205
sRNA204	Gene136	0.48506
sRNA214	Gene2324	0.54568
sRNA244	Gene1043	0.59253
sRNA29	Gene326	0.56514
sRNA176	Gene1229	0.57561
sRNA25	Gene2233	0.5407
sRNA70	Gene2179	0.57007
sRNA45	Gene2016	0.52051
sRNA249	Gene1810	0.5058
sRNA17	Gene1693	0.50157
sRNA285	Gene1494	0.47405
sRNA57	Gene1804	0.47777
sRNA247	Gene1019	0.47157
sRNA234	Gene1467	0.55727
sRNA31	Gene2329	0.47643
sRNA244	Gene2801	0.48391
sRNA135	Gene2692	0.55313
sRNA242	Gene1714	0.47961
sRNA67	Gene2137	0.52949
sRNA222	Gene402	0.50195
sRNA140	Gene2372	0.53209
sRNA9	Gene2369	0.52835
sRNA61	Gene2	0.53914
sRNA11	Gene2234	0.48276
sRNA149	Gene764	0.4688
sRNA57	Gene1812	0.48478
sRNA9	Gene2211	0.45995
sRNA9	Gene1093	0.58661
sRNA56	Gene1635	0.459
sRNA123	Gene1079	0.46661
sRNA133	Gene1443	0.52386
sRNA72	Gene1038	0.52677
sRNA80	Gene1406	0.47592
sRNA180	Gene1684	0.54616
sRNA326	Gene1755	0.4905
sRNA213	Gene295	0.50358
sRNA64	Gene384	0.57644
sRNA92	Gene1023	0.50303
sRNA79	Gene2392	0.54102
sRNA159	Gene2732	0.52908
sRNA146	Gene750	0.56654
sRNA265	Gene2412	0.45282
sRNA90	Gene495	0.53861
sRNA157	Gene153	0.53655
sRNA79	Gene1801	0.5269
sRNA9	Gene2268	0.51013
sRNA63	Gene2092	0.54626
sRNA77	Gene1216	0.55077
sRNA151	Gene2160	0.58698
sRNA197	Gene2445	0.49476
sRNA118	Gene808	0.53982
sRNA50	Gene1790	0.57135
sRNA275	Gene755	0.47422
sRNA122	Gene2486	0.53257
sRNA65	Gene2141	0.54115
sRNA186	Gene1659	0.54829
sRNA37	Gene551	0.61507
sRNA80	Gene2551	0.49085
sRNA220	Gene1893	0.56657
sRNA164	Gene2192	0.51478
sRNA125	Gene2582	0.57776
sRNA9	Gene2661	0.51795
sRNA69	Gene27	0.45528
sRNA201	Gene699	0.48486
sRNA86	Gene2620	0.60153
sRNA50	Gene1919	0.51489
sRNA50	Gene2112	0.52086
sRNA77	Gene133	0.57059
sRNA9	Gene1258	0.52024
sRNA220	Gene2213	0.55419
sRNA222	Gene2707	0.52927
sRNA112	Gene1315	0.56105
sRNA9	Gene1193	0.52557
sRNA95	Gene507	0.53007
sRNA87	Gene952	0.55116
sRNA220	Gene63	0.56158
sRNA141	Gene2561	0.54774
sRNA110	Gene816	0.51855
sRNA3	Gene2571	0.48855
sRNA122	Gene2461	0.502
sRNA58	Gene1292	0.52304
sRNA193	Gene951	0.52941
sRNA65	Gene2245	0.49994
sRNA76	Gene2344	0.51399
sRNA111	Gene1807	0.53249
sRNA198	Gene2499	0.45911
sRNA112	Gene2404	0.57296
sRNA128	Gene2507	0.52333
sRNA224	Gene1150	0.56596
sRNA246	Gene2053	0.47181
sRNA9	Gene140	0.5134
sRNA135	Gene2371	0.50697
sRNA152	Gene1376	0.51405
sRNA90	Gene1588	0.505
sRNA239	Gene2464	0.46674
sRNA123	Gene2457	0.55011
sRNA243	Gene1525	0.58156
sRNA165	Gene1767	0.51419
sRNA166	Gene2509	0.5132
sRNA31	Gene91	0.46641
sRNA201	Gene2620	0.51878
sRNA231	Gene1213	0.50154
sRNA131	Gene311	0.57352
sRNA74	Gene868	0.50555
sRNA145	Gene213	0.52895
sRNA100	Gene2353	0.57379
sRNA9	Gene1557	0.50462
sRNA91	Gene2295	0.47464
sRNA123	Gene2640	0.50621
sRNA58	Gene204	0.51452
sRNA87	Gene561	0.52933
sRNA184	Gene1054	0.47153
sRNA208	Gene1724	0.48695
sRNA28	Gene265	0.53552
sRNA101	Gene181	0.57196
sRNA59	Gene37	0.58692
sRNA142	Gene2229	0.56897
sRNA162	Gene819	0.5593
sRNA60	Gene263	0.52824
sRNA183	Gene2641	0.5175
sRNA207	Gene1316	0.52229
sRNA71	Gene752	0.60258
sRNA206	Gene871	0.53256
sRNA113	Gene1820	0.49869
sRNA142	Gene771	0.55846
sRNA224	Gene496	0.5177
sRNA96	Gene1869	0.48774
sRNA262	Gene2814	0.50833
sRNA50	Gene2173	0.51603
sRNA96	Gene2353	0.51106
sRNA68	Gene672	0.49528
sRNA84	Gene1147	0.57102
sRNA128	Gene1720	0.54162
sRNA180	Gene908	0.51608
sRNA197	Gene1459	0.56299
sRNA71	Gene1558	0.57885
sRNA37	Gene1470	0.54978
sRNA220	Gene333	0.56421
sRNA117	Gene974	0.57294
sRNA216	Gene1089	0.49789
sRNA9	Gene1627	0.52523
sRNA9	Gene1201	0.53215
sRNA135	Gene1605	0.48114
sRNA9	Gene1607	0.51168
sRNA38	Gene2575	0.60553
sRNA51	Gene454	0.51729
sRNA108	Gene305	0.53376
sRNA154	Gene2050	0.54741
sRNA50	Gene132	0.53036
sRNA153	Gene2141	0.57155
sRNA50	Gene1634	0.57334
sRNA9	Gene905	0.51088
sRNA194	Gene135	0.52293
sRNA72	Gene737	0.5176
sRNA25	Gene660	0.56231
sRNA158	Gene152	0.55159
sRNA257	Gene464	0.55439
sRNA249	Gene2122	0.4854
sRNA151	Gene82	0.48658
sRNA49	Gene288	0.54041
sRNA134	Gene2338	0.55706
sRNA185	Gene2360	0.53498
sRNA249	Gene1941	0.47433
sRNA127	Gene1024	0.50315
sRNA76	Gene2079	0.50444
sRNA19	Gene1751	0.55084
sRNA111	Gene264	0.51058
sRNA32	Gene1963	0.51083
sRNA83	Gene2	0.55744
sRNA213	Gene1213	0.52015
sRNA34	Gene1040	0.47715
sRNA281	Gene1052	0.45724
sRNA70	Gene2063	0.57168
sRNA222	Gene694	0.52599
sRNA9	Gene1997	0.55056
sRNA235	Gene1047	0.52553
sRNA176	Gene1407	0.50801
sRNA172	Gene783	0.52178
sRNA132	Gene767	0.5235
sRNA159	Gene1734	0.52446
sRNA50	Gene2317	0.5022
sRNA45	Gene1010	0.55697
sRNA83	Gene1648	0.52042
sRNA162	Gene519	0.55045
sRNA118	Gene478	0.53539
sRNA145	Gene1358	0.63931
sRNA133	Gene19	0.59575
sRNA224	Gene1770	0.59808
sRNA117	Gene842	0.52133
sRNA21	Gene1436	0.51248
sRNA265	Gene1627	0.45708
sRNA133	Gene2796	0.53521
sRNA50	Gene2713	0.58914
sRNA89	Gene2581	0.52687
sRNA89	Gene929	0.47988
sRNA158	Gene1782	0.53649
sRNA195	Gene2553	0.54306
sRNA155	Gene34	0.45433
sRNA105	Gene105	0.48915
sRNA274	Gene971	0.45091
sRNA55	Gene1909	0.562
sRNA108	Gene565	0.54561
sRNA77	Gene1004	0.57161
sRNA163	Gene2618	0.52686
sRNA44	Gene661	0.48195
sRNA231	Gene669	0.52778
sRNA232	Gene570	0.47524
sRNA211	Gene587	0.52017
sRNA70	Gene1585	0.52085
sRNA304	Gene298	0.48462
sRNA227	Gene1825	0.55043
sRNA44	Gene1327	0.48025
sRNA50	Gene59	0.4717
sRNA103	Gene2641	0.46511
sRNA243	Gene1755	0.58527
sRNA37	Gene2407	0.58077
sRNA10	Gene2563	0.54797
sRNA70	Gene1783	0.57101
sRNA113	Gene121	0.5114
sRNA9	Gene1225	0.4659
sRNA162	Gene1004	0.5446
sRNA151	Gene688	0.50355
sRNA101	Gene693	0.54311
sRNA23	Gene2799	0.51041
sRNA141	Gene1820	0.57045
sRNA48	Gene2484	0.60455
sRNA180	Gene76	0.50299
sRNA245	Gene67	0.49605
sRNA226	Gene1349	0.5332
sRNA98	Gene1812	0.48888
sRNA9	Gene684	0.54885
sRNA9	Gene201	0.50262
sRNA32	Gene2440	0.48013
sRNA242	Gene1215	0.50795
sRNA227	Gene511	0.59259
sRNA50	Gene463	0.54925
sRNA234	Gene380	0.55054
sRNA1	Gene124	0.50857
sRNA50	Gene2553	0.44874
sRNA178	Gene2577	0.54019
sRNA267	Gene2330	0.45642
sRNA118	Gene1463	0.53818
sRNA23	Gene294	0.50364
sRNA85	Gene2119	0.48674
sRNA223	Gene1041	0.57582
sRNA10	Gene645	0.52477
sRNA233	Gene294	0.5339
sRNA145	Gene794	0.58684
sRNA209	Gene1132	0.52241
sRNA205	Gene2605	0.46677
sRNA93	Gene1872	0.49413
sRNA215	Gene469	0.5498
sRNA70	Gene815	0.58553
sRNA163	Gene1664	0.55766
sRNA9	Gene2367	0.47007
sRNA18	Gene523	0.59323
sRNA240	Gene2846	0.61939
sRNA140	Gene2793	0.54541
sRNA154	Gene1038	0.54298
sRNA239	Gene2651	0.49805
sRNA162	Gene2229	0.57497
sRNA111	Gene2026	0.51021
sRNA75	Gene184	0.5392
sRNA24	Gene1189	0.47853
sRNA17	Gene410	0.51322
sRNA104	Gene310	0.54543
sRNA9	Gene2646	0.55193
sRNA9	Gene780	0.55929
sRNA160	Gene172	0.54973
sRNA197	Gene1662	0.52234
sRNA229	Gene2781	0.53717
sRNA246	Gene1342	0.54633
sRNA56	Gene1206	0.45458
sRNA98	Gene2184	0.51142
sRNA131	Gene289	0.5666
sRNA90	Gene28	0.53745
sRNA250	Gene2258	0.45451
sRNA191	Gene2427	0.53157
sRNA150	Gene2388	0.57235
sRNA50	Gene2224	0.44989
sRNA60	Gene2146	0.53354
sRNA126	Gene735	0.52309
sRNA206	Gene910	0.49335
sRNA189	Gene2637	0.53842
sRNA9	Gene2529	0.56179
sRNA163	Gene595	0.52431
sRNA163	Gene564	0.5495
sRNA207	Gene1494	0.5514
sRNA3	Gene368	0.54471
sRNA131	Gene203	0.55875
sRNA89	Gene750	0.54905
sRNA69	Gene409	0.45613
sRNA145	Gene1509	0.5283
sRNA160	Gene776	0.56829
sRNA7	Gene1217	0.5767
sRNA20	Gene1733	0.54935
sRNA18	Gene1297	0.5459
sRNA164	Gene771	0.49222
sRNA104	Gene1776	0.48026
sRNA154	Gene1680	0.5544
sRNA160	Gene1968	0.51755
sRNA227	Gene348	0.53682
sRNA204	Gene2767	0.50939
sRNA211	Gene2311	0.49684
sRNA62	Gene899	0.53195
sRNA76	Gene2006	0.54778
sRNA28	Gene1361	0.48274
sRNA53	Gene1049	0.53226
sRNA113	Gene1240	0.53026
sRNA93	Gene1188	0.54482
sRNA79	Gene2182	0.52405
sRNA240	Gene764	0.56355
sRNA158	Gene2728	0.47519
sRNA247	Gene1764	0.46685
sRNA10	Gene2795	0.516
sRNA225	Gene169	0.59709
sRNA220	Gene1104	0.57426
sRNA6	Gene1979	0.50823
sRNA135	Gene2777	0.55183
sRNA269	Gene566	0.46849
sRNA104	Gene465	0.51899
sRNA76	Gene768	0.5682
sRNA33	Gene563	0.52829
sRNA101	Gene960	0.55293
sRNA9	Gene62	0.5581
sRNA220	Gene1758	0.58042
sRNA103	Gene553	0.52086
sRNA247	Gene1631	0.47609
sRNA161	Gene905	0.52741
sRNA82	Gene225	0.52682
sRNA52	Gene1596	0.60648
sRNA104	Gene1307	0.49376
sRNA43	Gene2406	0.48453
sRNA258	Gene827	0.49154
sRNA237	Gene591	0.53959
sRNA47	Gene444	0.61742
sRNA50	Gene1681	0.54706
sRNA81	Gene1055	0.49097
sRNA236	Gene1292	0.56059
sRNA161	Gene1548	0.4847
sRNA89	Gene2787	0.51163
sRNA145	Gene550	0.57226
sRNA128	Gene2737	0.54173
sRNA92	Gene1307	0.45057
sRNA10	Gene2797	0.58064
sRNA50	Gene1138	0.59152
sRNA154	Gene1461	0.5697
sRNA247	Gene1386	0.4925
sRNA229	Gene1226	0.56353
sRNA43	Gene938	0.51227
sRNA60	Gene1488	0.52969
sRNA239	Gene2147	0.50493
sRNA218	Gene1842	0.55586
sRNA266	Gene920	0.45729
sRNA7	Gene148	0.50239
sRNA184	Gene2218	0.45328
sRNA200	Gene2527	0.4734
sRNA38	Gene871	0.59051
sRNA51	Gene1008	0.52468
sRNA9	Gene702	0.47174
sRNA8	Gene1907	0.50069
sRNA198	Gene817	0.4979
sRNA231	Gene317	0.51393
sRNA239	Gene2623	0.52667
sRNA109	Gene111	0.55342
sRNA131	Gene1849	0.55647
sRNA46	Gene326	0.6002
sRNA152	Gene2277	0.49103
sRNA90	Gene1733	0.5118
sRNA26	Gene542	0.56821
sRNA157	Gene2451	0.52621
sRNA124	Gene865	0.54736
sRNA126	Gene2349	0.4824
sRNA110	Gene529	0.57931
sRNA40	Gene1631	0.56205
sRNA9	Gene1221	0.51951
sRNA218	Gene333	0.54899
sRNA197	Gene29	0.5371
sRNA116	Gene1572	0.50603
sRNA2	Gene1211	0.51554
sRNA147	Gene1149	0.53542
sRNA115	Gene688	0.50613
sRNA223	Gene2316	0.57178
sRNA159	Gene264	0.55419
sRNA298	Gene430	0.49781
sRNA200	Gene2324	0.46408
sRNA224	Gene1773	0.5959
sRNA233	Gene1623	0.60895
sRNA79	Gene2541	0.5333
sRNA50	Gene2225	0.48056
sRNA9	Gene679	0.5333
sRNA123	Gene184	0.49603
sRNA151	Gene2678	0.56658
sRNA9	Gene469	0.56764
sRNA213	Gene460	0.51741
sRNA12	Gene1864	0.56703
sRNA222	Gene2490	0.50251
sRNA97	Gene619	0.56139
sRNA277	Gene1594	0.48888
sRNA274	Gene1904	0.46751
sRNA77	Gene2036	0.55021
sRNA60	Gene1833	0.52795
sRNA36	Gene1572	0.49887
sRNA34	Gene1660	0.48013
sRNA115	Gene440	0.5093
sRNA50	Gene1137	0.50408
sRNA213	Gene649	0.4986
sRNA3	Gene2363	0.58452
sRNA26	Gene2339	0.47974
sRNA250	Gene486	0.45209
sRNA63	Gene280	0.51762
sRNA86	Gene372	0.57503
sRNA74	Gene1638	0.52759
sRNA50	Gene922	0.47073
sRNA49	Gene1781	0.53988
sRNA1	Gene393	0.5252
sRNA20	Gene2159	0.48363
sRNA128	Gene1999	0.53471
sRNA69	Gene2156	0.50313
sRNA130	Gene1888	0.52264
sRNA79	Gene1377	0.53578
sRNA220	Gene1726	0.57174
sRNA74	Gene1402	0.5197
sRNA9	Gene749	0.52363
sRNA179	Gene1624	0.47566
sRNA150	Gene1124	0.54426
sRNA197	Gene2234	0.55519
sRNA51	Gene2761	0.51815
sRNA74	Gene83	0.53626
sRNA220	Gene83	0.56102
sRNA166	Gene1418	0.47277
sRNA89	Gene749	0.50062
sRNA171	Gene1837	0.48556
sRNA9	Gene1118	0.44901
sRNA204	Gene2605	0.51331
sRNA139	Gene1584	0.50171
sRNA286	Gene2177	0.45458
sRNA50	Gene2113	0.5437
sRNA146	Gene143	0.56683
sRNA23	Gene408	0.46548
sRNA98	Gene1040	0.4848
sRNA30	Gene1721	0.53532
sRNA210	Gene1696	0.48188
sRNA165	Gene21	0.48702
sRNA213	Gene469	0.5286
sRNA118	Gene1784	0.52709
sRNA222	Gene1673	0.47294
sRNA220	Gene421	0.57789
sRNA25	Gene695	0.56136
sRNA257	Gene1442	0.50947
sRNA111	Gene78	0.55655
sRNA207	Gene461	0.54322
sRNA50	Gene2449	0.55922
sRNA86	Gene2427	0.56978
sRNA211	Gene2846	0.48764
sRNA129	Gene2557	0.55102
sRNA70	Gene2544	0.5322
sRNA42	Gene1638	0.53808
sRNA100	Gene1817	0.50566
sRNA157	Gene627	0.53891
sRNA218	Gene2116	0.56488
sRNA9	Gene142	0.55666
sRNA69	Gene1189	0.49079
sRNA1	Gene955	0.50471
sRNA170	Gene795	0.47086
sRNA64	Gene1712	0.5669
sRNA108	Gene1675	0.53028
sRNA9	Gene370	0.49633
sRNA135	Gene2168	0.55931
sRNA178	Gene352	0.56696
sRNA41	Gene700	0.58215
sRNA199	Gene784	0.53898
sRNA43	Gene1622	0.48666
sRNA123	Gene1791	0.46583
sRNA123	Gene602	0.49487
sRNA19	Gene660	0.57215
sRNA201	Gene442	0.49032
sRNA106	Gene1159	0.58216
sRNA289	Gene899	0.49137
sRNA135	Gene2586	0.53097
sRNA33	Gene1276	0.54078
sRNA183	Gene2273	0.48402
sRNA28	Gene767	0.55423
sRNA166	Gene1871	0.48461
sRNA226	Gene884	0.55679
sRNA187	Gene1390	0.51837
sRNA56	Gene49	0.53767
sRNA248	Gene2005	0.46386
sRNA126	Gene1559	0.55634
sRNA273	Gene25	0.4645
sRNA11	Gene736	0.53121
sRNA112	Gene2685	0.54361
sRNA162	Gene2186	0.54841
sRNA177	Gene397	0.54993
sRNA11	Gene1150	0.50971
sRNA239	Gene1435	0.52135
sRNA9	Gene1906	0.55173
sRNA247	Gene1319	0.45496
sRNA245	Gene172	0.54131
sRNA56	Gene2706	0.51818
sRNA267	Gene856	0.4574
sRNA95	Gene191	0.56257
sRNA141	Gene881	0.53611
sRNA266	Gene1057	0.45196
sRNA123	Gene1566	0.53558
sRNA157	Gene2028	0.53487
sRNA56	Gene2461	0.46847
sRNA231	Gene2560	0.48063
sRNA220	Gene2398	0.57396
sRNA47	Gene1789	0.55508
sRNA77	Gene1790	0.58475
sRNA145	Gene2040	0.56332
sRNA67	Gene2399	0.50762
sRNA133	Gene2587	0.54752
sRNA72	Gene1835	0.56665
sRNA197	Gene1759	0.47503
sRNA25	Gene1113	0.56257
sRNA234	Gene2244	0.59917
sRNA51	Gene1758	0.53648
sRNA257	Gene907	0.44973
sRNA241	Gene1210	0.52996
sRNA125	Gene1282	0.57144
sRNA40	Gene623	0.4852
sRNA80	Gene1158	0.52162
sRNA234	Gene325	0.58555
sRNA228	Gene2476	0.49433
sRNA128	Gene1190	0.5748
sRNA266	Gene2181	0.4614
sRNA160	Gene1550	0.55878
sRNA177	Gene584	0.55656
sRNA30	Gene1633	0.46676
sRNA273	Gene2551	0.45225
sRNA162	Gene2764	0.52964
sRNA224	Gene894	0.60589
sRNA90	Gene1637	0.52902
sRNA243	Gene197	0.56741
sRNA9	Gene723	0.57339
sRNA30	Gene501	0.52402
sRNA267	Gene1118	0.47178
sRNA106	Gene523	0.54837
sRNA170	Gene1164	0.51471
sRNA62	Gene1828	0.45978
sRNA140	Gene611	0.57349
sRNA141	Gene1547	0.57874
sRNA222	Gene2254	0.49604
sRNA159	Gene1806	0.54525
sRNA10	Gene1864	0.57174
sRNA103	Gene1311	0.48911
sRNA71	Gene2519	0.56502
sRNA223	Gene2752	0.57597
sRNA166	Gene1025	0.49543
sRNA34	Gene927	0.47816
sRNA47	Gene2275	0.55585
sRNA17	Gene2699	0.52029
sRNA50	Gene1393	0.50256
sRNA210	Gene546	0.54022
sRNA1	Gene65	0.48028
sRNA231	Gene822	0.50118
sRNA228	Gene98	0.46905
sRNA245	Gene2865	0.48649
sRNA3	Gene914	0.56857
sRNA35	Gene2489	0.56536
sRNA97	Gene237	0.54765
sRNA200	Gene2400	0.49712
sRNA215	Gene604	0.51759
sRNA130	Gene2816	0.56252
sRNA22	Gene2534	0.4695
sRNA59	Gene2124	0.53458
sRNA209	Gene2526	0.51373
sRNA69	Gene1209	0.49525
sRNA221	Gene134	0.54693
sRNA9	Gene1834	0.56004
sRNA315	Gene2646	0.44694
sRNA177	Gene2073	0.51679
sRNA64	Gene2242	0.58744
sRNA51	Gene2692	0.56506
sRNA70	Gene885	0.53738
sRNA67	Gene7	0.49463
sRNA118	Gene882	0.54332
sRNA231	Gene2732	0.52627
sRNA62	Gene796	0.48116
sRNA224	Gene1062	0.57497
sRNA278	Gene1244	0.44868
sRNA42	Gene905	0.5741
sRNA177	Gene2417	0.54105
sRNA266	Gene2498	0.45955
sRNA77	Gene688	0.57729
sRNA221	Gene1215	0.56725
sRNA162	Gene746	0.56158
sRNA143	Gene1482	0.56773
sRNA286	Gene2076	0.46385
sRNA119	Gene1102	0.54106
sRNA16	Gene202	0.51771
sRNA9	Gene1994	0.47198
sRNA187	Gene2192	0.53815
sRNA50	Gene806	0.50228
sRNA87	Gene30	0.58654
sRNA178	Gene2099	0.48237
sRNA3	Gene1160	0.48199
sRNA223	Gene1855	0.56399
sRNA34	Gene2170	0.48878
sRNA173	Gene1045	0.51033
sRNA293	Gene2369	0.5474
sRNA37	Gene1757	0.57359
sRNA20	Gene2112	0.57816
sRNA322	Gene787	0.51081
sRNA11	Gene1542	0.52976
sRNA216	Gene118	0.52502
sRNA8	Gene167	0.50099
sRNA10	Gene553	0.59406
sRNA186	Gene2395	0.58917
sRNA240	Gene1513	0.5402
sRNA147	Gene562	0.55141
sRNA74	Gene2635	0.49912
sRNA47	Gene2015	0.47814
sRNA276	Gene1771	0.5478
sRNA164	Gene152	0.50426
sRNA162	Gene25	0.54129
sRNA103	Gene1040	0.46478
sRNA112	Gene936	0.56411
sRNA174	Gene1023	0.47963
sRNA45	Gene2717	0.59533
sRNA223	Gene2357	0.60546
sRNA215	Gene2174	0.51711
sRNA118	Gene2667	0.49793
sRNA47	Gene2609	0.45926
sRNA70	Gene538	0.56921
sRNA142	Gene2722	0.53736
sRNA236	Gene1341	0.57089
sRNA153	Gene2519	0.56914
sRNA24	Gene2390	0.47217
sRNA257	Gene1408	0.46045
sRNA112	Gene165	0.58665
sRNA50	Gene1200	0.54039
sRNA190	Gene1264	0.57641
sRNA9	Gene613	0.56413
sRNA59	Gene130	0.55502
sRNA108	Gene1222	0.52957
sRNA220	Gene592	0.56965
sRNA50	Gene1106	0.54424
sRNA151	Gene1590	0.52896
sRNA257	Gene1313	0.53836
sRNA104	Gene699	0.52657
sRNA50	Gene616	0.48983
sRNA215	Gene2472	0.52169
sRNA143	Gene921	0.51546
sRNA147	Gene908	0.57001
sRNA64	Gene986	0.55361
sRNA208	Gene1128	0.46064
sRNA29	Gene2263	0.50597
sRNA230	Gene73	0.50174
sRNA24	Gene1268	0.4729
sRNA264	Gene763	0.50007
sRNA18	Gene2577	0.55661
sRNA259	Gene1887	0.44803
sRNA1	Gene1161	0.52451
sRNA98	Gene1227	0.52171
sRNA232	Gene1358	0.48917
sRNA13	Gene1371	0.51055
sRNA185	Gene1576	0.47593
sRNA185	Gene2077	0.44898
sRNA9	Gene2475	0.45691
sRNA50	Gene1094	0.50856
sRNA97	Gene740	0.47043
sRNA235	Gene1473	0.50695
sRNA191	Gene982	0.48529
sRNA10	Gene655	0.5834
sRNA183	Gene923	0.54158
sRNA70	Gene1973	0.50139
sRNA58	Gene2094	0.46606
sRNA220	Gene2376	0.59726
sRNA50	Gene1243	0.50203
sRNA157	Gene2590	0.57194
sRNA74	Gene1853	0.4752
sRNA159	Gene1876	0.52167
sRNA12	Gene2012	0.54371
sRNA135	Gene2490	0.47744
sRNA19	Gene1544	0.53754
sRNA71	Gene1395	0.58249
sRNA9	Gene694	0.46231
sRNA9	Gene1892	0.46496
sRNA12	Gene2331	0.54965
sRNA157	Gene2863	0.56408
sRNA83	Gene1388	0.53539
sRNA86	Gene1159	0.58379
sRNA126	Gene96	0.49445
sRNA71	Gene1334	0.54213
sRNA259	Gene1376	0.46347
sRNA110	Gene898	0.56595
sRNA30	Gene1830	0.50387
sRNA142	Gene649	0.49937
sRNA87	Gene57	0.58438
sRNA46	Gene2210	0.60711
sRNA195	Gene1131	0.48287
sRNA165	Gene612	0.49109
sRNA196	Gene1117	0.46359
sRNA74	Gene1020	0.499
sRNA53	Gene2749	0.51883
sRNA180	Gene1029	0.51356
sRNA223	Gene1245	0.55781
sRNA118	Gene670	0.48264
sRNA234	Gene1960	0.55494
sRNA278	Gene2236	0.54157
sRNA149	Gene2779	0.46139
sRNA9	Gene2729	0.5535
sRNA135	Gene1868	0.52258
sRNA92	Gene37	0.53267
sRNA127	Gene2089	0.50494
sRNA154	Gene156	0.54186
sRNA145	Gene357	0.51261
sRNA175	Gene1121	0.47224
sRNA3	Gene210	0.51049
sRNA9	Gene546	0.46546
sRNA279	Gene716	0.45973
sRNA198	Gene2216	0.45664
sRNA209	Gene625	0.50032
sRNA200	Gene737	0.46616
sRNA228	Gene171	0.50855
sRNA37	Gene191	0.60103
sRNA96	Gene2380	0.52723
sRNA13	Gene415	0.51272
sRNA133	Gene324	0.54681
sRNA84	Gene1712	0.51185
sRNA176	Gene1110	0.52581
sRNA9	Gene1520	0.56002
sRNA106	Gene859	0.5676
sRNA41	Gene1863	0.55867
sRNA8	Gene2712	0.47513
sRNA117	Gene1226	0.54923
sRNA80	Gene2242	0.46669
sRNA52	Gene417	0.58515
sRNA64	Gene2591	0.48299
sRNA234	Gene1961	0.5696
sRNA231	Gene60	0.52251
sRNA299	Gene1734	0.53666
sRNA50	Gene1205	0.53867
sRNA53	Gene1492	0.54434
sRNA2	Gene1269	0.51031
sRNA42	Gene23	0.54126
sRNA25	Gene2768	0.51559
sRNA10	Gene40	0.58207
sRNA158	Gene1700	0.53026
sRNA50	Gene237	0.57914
sRNA185	Gene2683	0.47464
sRNA97	Gene1594	0.5149
sRNA249	Gene2370	0.50211
sRNA163	Gene554	0.54202
sRNA50	Gene2532	0.56437
sRNA181	Gene1208	0.57061
sRNA161	Gene2436	0.57869
sRNA106	Gene783	0.56936
sRNA187	Gene2545	0.52572
sRNA164	Gene2629	0.48766
sRNA28	Gene683	0.46339
sRNA95	Gene893	0.56011
sRNA50	Gene1522	0.5828
sRNA118	Gene1173	0.47103
sRNA10	Gene321	0.5695
sRNA29	Gene2430	0.51473
sRNA128	Gene1611	0.56283
sRNA9	Gene2125	0.54441
sRNA313	Gene2272	0.51063
sRNA156	Gene1857	0.58382
sRNA128	Gene2314	0.5805
sRNA150	Gene2307	0.55952
sRNA148	Gene311	0.54227
sRNA48	Gene2526	0.52572
sRNA134	Gene365	0.53927
sRNA225	Gene461	0.55511
sRNA265	Gene2473	0.45965
sRNA181	Gene695	0.56251
sRNA118	Gene2692	0.51244
sRNA42	Gene1593	0.55115
sRNA101	Gene72	0.53761
sRNA30	Gene2174	0.50493
sRNA9	Gene287	0.5025
sRNA187	Gene1641	0.55203
sRNA82	Gene2789	0.54474
sRNA127	Gene2230	0.61535
sRNA9	Gene1497	0.54653
sRNA9	Gene734	0.54485
sRNA9	Gene1733	0.53184
sRNA50	Gene1912	0.45252
sRNA73	Gene317	0.50646
sRNA83	Gene1166	0.50133
sRNA263	Gene2732	0.54188
sRNA9	Gene1736	0.44565
sRNA60	Gene1116	0.5108
sRNA208	Gene1	0.49256
sRNA223	Gene1002	0.57819
sRNA194	Gene822	0.54987
sRNA133	Gene1818	0.52331
sRNA45	Gene407	0.51563
sRNA62	Gene1582	0.50778
sRNA255	Gene947	0.45638
sRNA148	Gene309	0.54262
sRNA232	Gene1357	0.50006
